name,category,price,original_price,stock,image,images,colors,country_of_origin,piece_type,description,badge,rating,reviews
Grelac 3-Piece Luggage Set,luggage,13000,,10,Grelac1.png,Grelac2.png|Grelac3.png|Grelac4.png,Sky Blue|Grey|Pink,,set,"Grelac Brand, 3 Year Warranty, Anti-Theft Zipper, Expandable (Double Zipper), 360° Spinner Wheels (8 Wheels), Aluminum Handle, Sizes: 21-inch / 25-inch / 29-inch",New Arrival,5,0
Crocodile 3-Piece Luggage Set,luggage,16999,,10,Crocodile1.png,Crocodile2.png|Crocodile3.png,Pink|Purple|Grey|Khaki,,set,"Crocodile Brand, 3 Year International Warranty, Anti-Theft Zipper, 360° Spinner Wheels (8 Wheels), Aluminum Handle, Sizes: 20-inch / 24-inch / 28-inch",New Arrival,5,0
Flymate Sky Trolley Bag,luggage,6000,,10,FlymateSky1.png,FlymateSky2.png|FlymateSky3.png|FlymateSky4.png,Sky Blue|Grey|Khaki|Pink|Light Green,,single,"Flymate Brand, 3 Year Warranty, Anti-Theft Zipper, 360° Spinner Wheels (8 Wheels), Aluminum Handle, 28-inch (30kg Capacity)",New Arrival,5,0
Flymate Pink Trolley Bag,luggage,6500,,10,FlymatePink1.png,FlymatePink2.png|FlymatePink3.png|FlymatePink4.png,Sky Blue|Khaki|Pink,,single,"Flymate Brand, 3 Year Warranty, Anti-Theft Zipper, 360° Spinner Wheels (8 Wheels), Aluminum Handle, 28-inch (30kg Capacity)",New Arrival,5,0
Flymate Cream Trolley Bag,luggage,5500,,10,Flymate1.png,Flymate2.png|Flymate3.png|Flymate4.png,Sky Blue|Khaki|Pink,,single,"Flymate Brand, 3 Year Warranty, Anti-Theft Zipper, 360° Spinner Wheels (8 Wheels), Aluminum Handle, 28-inch (30kg Capacity)",New Arrival,5,0
